,Latitude,Longitude,OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME,x_mercator,y_mercator
10,-37.78297425,144.7730197,1011,T20100030427,ABS to receive accident,Finished,31-07-2010,14.56.00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Cross intersection,Other injury accident,70,No,57065,144.77302,-37.78297,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2480006.345,2413088.2709999997,5,1,0,0,1,4,1,4,0,3,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undivided,Metro,-4205981.454165367,16116058.833608562
11,-37.89831076,145.2381589,1012,T20100030431,ABS to receive accident,Finished,31-07-2010,07.58.00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Day,No,Not at intersection,Other injury accident,80,No,235109,145.23816000000002,-37.898309999999995,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2520946.295,2400284.876,2,1,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,KNOX,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undivided,Metro,-4218820.655728441,16167837.892500553
12,-37.39746757,142.3342632,1013,T20100030432,ABS to receive accident,Finished,31-07-2010,14.05.00,Yes,Struck animal,Saturday,STRUCK ANIMAL,No,Day,Yes,Not at intersection,Serious injury accident,100,No,235203,142.33426,-37.39747,Non-Intersection,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,2264020.145,2452590.745,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country,Country,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,,,Local Road,Local Road,Undivided,Undivided,Country,-4163067.046850362,15844577.701859778
13,-36.95592734,144.23605930000002,1014,T20100030433,ABS to receive accident,Finished,31-07-2010,13.30.00,No,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Fatal accident,100,No,279270,144.23606,-36.95593,Intersection,MOUNT ALEXANDER,NORTHERN REGION,2431972.164,2504617.371,4,4,1,2,1,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Country,Country,MOUNT ALEXANDER,NORTHERN REGION,M,M,Freeway,"Freeway,Local Road",Undivided,Undivided,Country,-4113915.0132820173,16056284.675304413
14,-37.89909609,145.162373,1015,T20100030439,ABS to receive accident,Finished,31-07-2010,15.30.00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,80,No,235087,145.16236999999998,-37.8991,Non-Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2514280.719,2400211.733,11,2,0,0,2,9,5,6,0,7,4,0,0,0,0,0,0,0,0,0,No,0,4,0,4,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,MONASH,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,Arterial Highway,Undivided,Undivided,Metro,-4218908.078264145,16159401.444703244
15,-36.75288119,145.9804596,1016,T20100030441,ABS to receive accident,Finished,31-07-2010,16.15.00,Yes,collision with some other object,Saturday,OTHER ACCIDENTS NOT CLASSIFIABLE ELSEWHERE,No,Day,Yes,Not at intersection,Serious injury accident,100,No,235149,145.98046000000002,-36.75288,Non-Intersection,BENALLA,NORTH EASTERN REGION,2587539.962,2526969.23,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country,Country,BENALLA,NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undivided,Country,-4091312.019256482,16250470.428440044
16,-36.14144524,147.0070188,1017,T20100030442,ABS to receive accident,Finished,31-07-2010,16.00.00,Yes,Collision with a fixed object,Saturday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Cross intersection,Other injury accident,80,Yes,49355,147.00701999999998,-36.14145,Intersection,WODONGA,NORTH EASTERN REGION,2680615.9669999997,2593358.66,2,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country,Country,WODONGA,NORTH EASTERN REGION,B,"B,C",Arterial Highway,"Arterial Highway,Local Road,Arterial Other",Undivided,Undivided,Country,-4023247.280649781,16364746.475853194
17,-38.11133197,145.14649780000002,1018,T20100030444,ABS to receive accident,Finished,30-07-2010,15.30.00,No,Struck Pedestrian,Friday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,No,Day,No,Not at intersection,Other injury accident,40,No,237002,145.1465,-38.11133,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2512848.242,2376656.519,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,FRANKSTON,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undivided,Metro,-4242534.0683538085,16157634.225523006
18,-37.86091217,145.2108844,1019,T20100030445,ABS to receive accident,Finished,31-07-2010,17.15.00,Yes,Collision with vehicle,Saturday,RIGHT THROUGH,No,Dusk/Dawn,Yes,Multiple intersection,Other injury accident,80,No,221880,145.21088,-37.86091,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2518556.674,2404441.4069999997,4,2,0,0,2,2,4,0,0,2,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,KNOX,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,Arterial Highway,Undivided,Undivided,Metro,-4214657.463733254,16164801.709048912
19,-38.10136234,145.18778909999997,1020,T20100030452,ABS to receive accident,Finished,31-07-2010,18.05.00,Yes,Collision with vehicle,Saturday,RIGHT THROUGH,No,Dark Street lights on,Yes,T intersection,Other injury accident,70,No,29445,145.18778999999998,-38.10136,Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2516471.7709999997,2377756.81,3,2,0,0,2,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,FRANKSTON,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro,-4241424.254218811,16162230.752013193
20,-37.89508732,145.0766616,1021,T20100030464,ABS to receive accident,Finished,31-07-2010,16.30.00,Yes,Collision with vehicle,Saturday,RIGHT FAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Serious injury accident,50,No,41503,145.07666,-37.89509,Intersection,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,2506742.752,2400666.135,5,2,0,2,0,3,3,2,0,1,4,0,0,0,0,0,0,0,1,2,No,0,4,0,4,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,"MONASH,GLEN EIRA",METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro,-4218461.824029039,16149860.095300065
21,-37.86285701,145.2384504,1022,T20100030474,ABS to receive accident,Finished,31-07-2010,23.00.00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,80,No,236199,145.23845,-37.86286,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2520981.794,2404219.826,3,1,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,KNOX,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undivided,Metro,-4214873.962331728,16167870.342132121
22,-37.862879,145.2916063,1023,T20100030475,ABS to receive accident,Finished,04-07-2010,08.00.00,Yes,Collision with a fixed object,Sunday,OFF END OF ROAD/T-INTERSECTION.,Yes,Day,No,T intersection,Other injury accident,60,No,35534,145.29161000000002,-37.86288,Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2525659.08,2404204.364,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,KNOX,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undivided,Metro,-4214876.4102473315,16173787.62985278
23,-37.69172235,144.95857869999998,1024,T20100030477,ABS to receive accident,Finished,31-07-2010,23.00.00,Yes,Collision with vehicle,Saturday,RIGHT/LEFT. ONE VEH TURNING RIGHT THE OTHER LEFT.,No,Dark Street lights on,Yes,Multiple intersection,Other injury accident,60,No,222013,144.95858,-37.691720000000004,Intersection,HUME,METROPOLITAN NORTH WEST REGION,2496346.982,2423238.795,9,2,0,0,2,7,5,4,0,4,3,0,1,1,0,0,0,0,0,2,No,0,4,0,3,1,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,HUME,METROPOLITAN NORTH WEST REGION,M,M,Freeway,"Freeway,Arterial Other",Undivided,Undivided,Metro,-4195823.339123448,16136715.16700067
24,-35.96989125,145.71375749999999,1025,T20100030480,ABS to receive accident,Finished,31-07-2010,23.00.00,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark No street lights,Yes,Cross intersection,Other injury accident,100,No,235093,145.71376,-35.96989,Intersection,MOIRA,NORTH EASTERN REGION,2564379.456,2614056.605,4,2,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Country,Country,MOIRA,NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undivided,Country,-4004149.977839427,16220781.286474545
25,-37.80233683,145.07431540000002,1026,T20100030484,ABS to receive accident,Finished,01-08-2010,02.50.00,Yes,Collision with vehicle,Sunday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights off,Yes,Not at intersection,Other injury accident,60,No,235094,145.07432,-37.80234,Non-Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2506544.43,2410960.571,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,3,0,3,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undivided,Metro,-4208136.886711411,16149598.917510768
26,-37.80624088,144.98180530000002,1027,T20100030488,ABS to receive accident,Finished,30-07-2010,23.25.00,Yes,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,Cross intersection,Serious injury accident,40,No,36545,144.98181,-37.80624,Intersection,YARRA,METROPOLITAN NORTH WEST REGION,2498397.805,2410529.674,5,1,0,1,0,4,3,2,0,3,1,1,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,YARRA,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro,-4208571.483569442,16139300.740285533
27,-37.69065936,145.1450048,1028,T20100030491,ABS to receive accident,Finished,01-08-2010,02.25.00,Yes,Collision with a fixed object,Sunday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Fatal accident,70,Yes,235025,145.145,-37.69066,Non-Intersection,NILLUMBIK,METROPOLITAN NORTH WEST REGION,2512788.42,2423347.8230000003,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,NILLUMBIK,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Undivided,Undivided,Metro,-4195705.00761793,16157468.025523249
28,-37.80962076,144.9915977,1029,T20100030492,ABS to receive accident,Finished,01-08-2010,01.24.00,Yes,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,40,No,235692,144.9916,-37.80962,Non-Intersection,YARRA,METROPOLITAN NORTH WEST REGION,2499260.14,2410154.671,2,1,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,YARRA,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Undivided,Undivided,Metro,-4208947.730089986,16140390.825267175
29,-37.81291665,145.22717839999999,1030,T20100030494,ABS to receive accident,Finished,01-08-2010,06.00.00,Yes,Struck Pedestrian,Sunday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,Yes,Dark Street lights on,No,Not at intersection,Other injury accident,50,No,235693,145.22718,-37.81292,Non-Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,2520003.17,2409765.036,2,1,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,MAROONDAH,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro,-4209314.626886495,16166615.548831895
30,-37.81101819,145.23748999999998,1031,T20100030496,ABS to receive accident,Finished,31-07-2010,22.37.00,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Other injury accident,80,No,84,145.23748999999998,-37.81102,Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,2520911.635,2409973.524,4,1,0,0,1,3,3,1,0,2,2,0,0,0,0,0,0,0,0,0,Yes,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,MAROONDAH,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,"Arterial Highway,Arterial Other",Undivided,Undivided,Metro,-4209103.291286005,16167763.430893159
31,-38.07959194,145.2548975,1032,T20100030497,ABS to receive accident,Finished,28-07-2010,19.15.00,Yes,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights unknown,No,Not at intersection,Other injury accident,80,No,236411,145.2549,-38.07959,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2522364.5930000003,2380159.66,4,1,0,0,1,3,2,2,0,1,3,0,0,0,0,0,0,0,0,2,No,1,3,0,3,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,CASEY,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undivided,Metro,-4239000.784376444,16169701.224929146
32,-37.86858969,145.1807228,1033,T20100030500,ABS to receive accident,Finished,31-07-2010,10.45.00,No,Collision with vehicle,Saturday,U TURN,No,Day,Yes,Not at intersection,Other injury accident,50,No,235095,145.18072,-37.868590000000005,Non-Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2515901.003,2403594.742,4,3,0,0,3,1,4,0,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,MONASH,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro,-4215512.121350209,16161444.135095404
33,-36.72932431,144.3065314,1034,T20100030509,ABS to receive accident,Finished,01-08-2010,09.55.00,Yes,Collision with vehicle,Sunday,RIGHT THROUGH,No,Day,Yes,Not at intersection,Other injury accident,60,No,235694,144.30653,-36.72932,Non-Intersection,BENDIGO,NORTHERN REGION,2438064.335,2529808.241,3,1,0,0,1,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Large Provincial Cities,Large Provincial Cities,BENDIGO,NORTHERN REGION,A,A,Arterial Highway,Arterial Highway,Undivided,Undivided,Country,-4088689.6793702045,16064129.593591545
34,-37.78635491,144.79103600000002,1035,T20100030513,ABS to receive accident,Finished,01-08-2010,09.20.00,Yes,Collision with a fixed object,Sunday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Cross intersection,Other injury accident,60,Yes,38501,144.79103999999998,-37.78635,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2481594.139,2412716.699,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro,-4206357.787515113,16118064.398950545
35,-38.35350284,145.1941813,1036,T20100030515,ABS to receive accident,Finished,31-07-2010,09.14.00,No,Collision with vehicle,Saturday,U TURN,No,Day,No,Not at intersection,Other injury accident,70,No,235152,145.19418000000002,-38.3535,Non-Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2516975.369,2349765.765,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro,-4269492.406287172,16162942.328462241
36,-37.8730261,145.15536740000002,1037,T20100030519,ABS to receive accident,Finished,01-08-2010,11.50.00,No,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Not at intersection,Other injury accident,70,No,125116,145.15537,-37.87303,Non-Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2513669.295,2403106.284,2,1,0,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,MONASH,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undivided,Metro,-4216005.980252359,16158621.584878545
37,-37.5146056,145.1147075,1038,T20100030527,ABS to receive accident,Finished,30-07-2010,16.40.00,Yes,Collision with vehicle,Friday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,Cross intersection,Other injury accident,60,No,49067,145.11471,-37.51461,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2510139.954,2442889.595,3,2,0,0,2,1,2,1,0,1,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Other Towns,Other Towns,WHITTLESEA,METROPOLITAN NORTH WEST REGION,C,C,Arterial Other,Arterial Other,Undivided,Undivided,Metro,-4176106.7927024895,16154095.345514838
